Install_Dates,campaign_id,Country,1d_LTV,3d_LTV,7d_LTV,14d_LTV,30d_LTV,60d_LTV
2020-04-14,90570,CZ,7.721194,8.10481071472168,10.20948,11.8452,15.349594,15.7684202194214
2020-03-30,90262,CA,1.424363,1.72473800182343,1.724738,1.724738,1.724738,1.99941301345825
2020-04-02,19115,PL,26.9120064227642,32.9430503845215,66.7874968455285,70.0719218455285,71.6440228455285,72.0570259094238
2020-04-15,788948,MD,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,158583,DE,0.349793,0.349792987108231,0.349793,0.349793,0.349793,0.349792987108231
2020-04-28,90619,AT,1.032342,1.03234195709229,1.248888,1.501317,1.761729,-1.0
2020-05-10,794235,PK,0.2125,0.254619985818863,0.390186,0.519535,0.652006,-1.0
2020-04-22,22083,JP,0.0,0.0,0.0,0.0,0.0,-1.0
2020-05-07,91872,FR,4.66139,4.78778409957886,6.422362,6.596973,6.596973,-1.0
2020-04-26,90133,BY,1.524119,1.81446504592896,2.537125,2.747181,3.420379,-1.0
2020-04-03,19115,JP,0.833442,0.833441972732544,1.103046,1.167516,1.398647,1.41665196418762
2020-05-13,794235,LT,0.115957,0.133393004536629,0.147065,0.147065,0.156818,-1.0
2020-03-27,19115,UA,23.3349776666667,39.2800693511963,70.4721986666667,77.1125036666667,81.3519806666667,84.7339744567871
2020-04-23,159854,FR,1.056526,1.08765494823456,1.418683,1.743116,1.753185,-1.0
2020-05-14,19115,HK,6.6e-05,6.60000005155e-05,6.6e-05,6.6e-05,6.6e-05,-1.0
2020-05-04,794235,LA,0.013638,0.0136380000039935,0.0160879999999999,0.0160879999999999,0.0160879999999999,-1.0
2020-05-05,794235,BD,0.105658,0.105658002197742,0.10997,0.123146,0.175324,-1.0
2020-05-16,794235,SD,0.0,0.0,0.0,0.001063,0.001063,-1.0
2020-04-13,790424,RU,15.139952,18.0568673610687,24.705458,30.279938,35.928758,43.8391568660736
2020-04-24,161569,US,2.123665,2.33669090270996,4.015728,7.177724,9.207404,-1.0
2020-04-04,159253,DK,0.118543,0.11854299902916,0.118543,0.118543,0.118543,0.11854299902916
2020-05-15,792410,TR,0.389986,0.399372011423111,0.55994,0.988754,1.034074,-1.0
2020-04-03,92536,IE,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,22083,UNKNOWN,0.0,0.0,0.0,0.0,0.0,-1.0
2020-03-19,790034,RU,198.894687,224.692802429199,304.094057,378.867356,447.738577,691.359893798828
2020-03-24,788583,KR,28.4803735454545,34.6154088973999,38.4747775454546,40.8653105454545,42.7555475454545,45.3315134048462
2020-04-04,787170,CZ,10.473727,12.0828895568848,16.961392,20.879656,25.596784,27.4595432281494
2020-05-06,787733,FR,0.062519,0.0625189989805221,0.062519,0.062519,0.062519,-1.0
2020-03-25,90464,UN,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,789470,PL,8.960731,10.555890083313,15.207844,19.393055,23.164885,26.4148254394531
2020-03-29,92492,HR,0.027046,0.0270460005849599,0.027046,0.027046,0.027046,0.0270460005849599
2020-05-03,19115,DE,6.037238,6.84925079345703,12.136192,14.837781,18.013401,-1.0
2020-04-17,22083,BR,0.076115,0.076114997267723,0.096443,0.096443,0.122132,0.122132003307343
2020-04-15,92708,JP,6.11269,6.13501596450806,6.259203,6.259203,6.259203,6.25920295715332
2020-04-20,794235,KG,0.0774929999999999,0.0774929970502853,0.0774929999999999,0.078651,0.079231,-1.0
2020-05-15,794235,EC,0.073965,0.0739649981260299,0.094569,0.111645,0.121685,-1.0
2020-05-09,22083,NL,0.05931,0.0593100003898143,0.05931,0.05931,0.05931,-1.0
2020-03-26,791951,US,0.352298,0.36539700627327,0.765628,0.823867,0.823867,0.82386702299118
2020-03-18,786357,AE,0.036937,0.0369369983673095,0.036937,0.036937,0.036937,0.0369369983673095
2020-04-20,91502,FI,0.861731,0.861730992794037,0.87746,0.890017,0.968955,-1.0
2020-04-16,94342,SE,0.042243,0.0422430001199245,0.042243,0.042243,0.042243,0.0422430001199245
2020-05-02,19115,HU,2.51079294488189,2.57286095619202,2.68299094488189,2.79357294488189,2.88046994488189,-1.0
2020-04-23,794235,UY,0.082951,0.155410006642342,0.25849,0.264127,0.264127,-1.0
2020-05-18,794235,SN,0.000334,0.0003340000112075,0.000334,0.000334,0.000334,-1.0
2020-03-19,94578,SK,0.045779,0.045779000967741,0.045779,0.045779,0.045779,0.045779000967741
2020-04-22,159253,DE,8.61051314285714,9.83783262968063,13.3423541428571,18.6998457142857,21.2770067142857,-1.0
2020-05-06,794235,LK,0.009956,0.0171930007636547,0.017193,0.01951,0.01951,-1.0
2020-03-22,19115,DK,1.153711,1.15371096134186,1.798501,2.392824,3.743393,3.74339294433594
2020-04-30,794235,BO,0.011334,0.0113340001553297,0.011334,0.012827,0.012827,-1.0
2020-03-25,19115,UK,43.153491,48.533175945282,63.387035,107.932310333333,117.716144333333,122.419311523437
2020-05-04,22083,IT,0.474729,0.474729001522064,0.664304,0.847226,1.172715,-1.0
2020-04-05,95659,US,23.935087,24.3996486663818,28.105116,33.737233,35.123906,35.6766223907471
2020-03-20,19115,IT,2.628798,2.78782606124878,4.184511,5.166993,6.513623,6.98897218704224
2020-05-15,22083,UK,3.97883766666667,4.17323565483093,5.37339366666667,7.92234266666667,9.21157866666667,-1.0
2020-05-17,794235,PT,0.72206,0.787002980709076,1.380586,2.122383,2.274244,-1.0
2020-04-03,158519,UA,0.001,0.0010000000474974,0.001,0.001,0.001,0.0010000000474974
2020-04-23,791763,US,17.372687,18.8512816429138,26.461241,27.195701,28.150098,-1.0
2020-05-15,19115,CH,34.760752,34.760751247406,34.760752,39.003862,39.149967,-1.0
2020-04-29,93619,NO,7.319898,7.52452409267426,18.32538,25.302158,37.908131,-1.0
2020-04-05,160483,TW,1.829507,1.82950699329376,1.883584,1.883584,1.883584,1.88358402252197
2020-04-08,787112,CL,0.136235,0.136234998703003,0.198462,0.243713,0.415979,0.470167994499206
2020-04-16,791300,UA,0.162383,0.162383005023003,0.163781,0.276012,0.284377,0.312678009271622
2020-04-17,160483,KR,25.061405,26.4098339080811,31.321395,36.769457,36.924618,37.2170906066895
